year,he,brt
2000,4.63926125,40.037
2001,4.8036828,39.777
2002,4.95862436,39.468
2003,5.16911125,39.135
2004,5.3449378,38.773
2005,5.31436777,38.366
2006,5.87344599,37.89
2007,5.99706984,37.33
2008,6.04985666,36.678
2009,6.02780771,35.942
2010,6.11675072,35.128
2011,5.81170416,34.249
2012,5.61369753,33.333
2013,5.51942348,32.415
2014,5.45934105,31.522
2015,5.21938848,30.688
2016,5.14090538,29.943
2017,4.8369956,29.296
2018,5.16729498,28.748
